Lake,County,geol_form,soil,wtrmonth,wtrTP,wtrTN,wtrCHLO,wtrSECC,smrmonth,smrTP,smrTN,smrCHLO,smrSECC,smrTSIChlo,wtrTSIChlo
ALICE,ALACHUA,HAW,CS,JAN,609,810,10,5.5,AUG,488,557,15,4,57.16597247,53.18835976
ALTO,ALACHUA,HAW,CS,JAN,18,763,9,2.5,AUG,21,805,17,2.6,58.39382291,52.1547731
BIVANS,ALACHUA,HAW,CS,JAN,290,3753,22.7,0.8,AUG,168,2697,155,1,80.0760004,61.23039991
HIDDEN,ALACHUA,BON,PS,JAN,437,2127,4,2.2,AUG,,,,,,44.19954768
HOLDEN,ALACHUA,HAW,CS,DEC,73,933,5,3.1,AUG,87,1033,42,,67.26653896,46.38858592
KINGSWD,ALACHUA,HAW,CS,JAN,314,1520,12,1.2,AUG,,,,,,54.97693423
L_ORANGE,ALACHUA,HAW,CS,JAN,196,1250,3,1.9,AUG,194,1273,6,1.9,48.17716039,41.37738655
L_SANTAFE,ALACHUA,HAW,CS,JAN,17,980,2,2.5,AUG,21,753,7,2.8,49.68937856,37.39977384
MELROSE,ALACHUA,HAW,CS,JAN,13,613,6,4,AUG,23,720,23,4.2,61.35919826,48.17716039
MIZE,ALACHUA,BON,PS,JAN,36,1070,34,1.9,AUG,14,650,7,3.3,49.68937856,65.19359675
MOSS,ALACHUA,HAW,CS,DEC,35,687,13,4.7,AUG,32,763,30,4,63.96574631,55.7621532
NEWNAN,ALACHUA,BON,PS,FEB,123,2797,42,1.2,AUG,139,2190,119,1.8,77.48320147,67.26653896
SANTAFE,ALACHUA,HAW,CS,JAN,9,703,6,4,AUG,17,630,8,4,50.99932152,48.17716039
WAUBERG,ALACHUA,HAW,CS,JAN,121,2177,66,2,AUG,277,1830,67,2.2,71.8480346,71.70051302
CROSBY,BRADFORD,HAW,CS,JAN,17,1097,10,3.5,AUG,18,1023,9,4,52.1547731,53.18835976
HAMPTON,BRADFORD,HAW,CS,FEB,16,883,11,2.6,SEP,11,737,16,4.1,57.79909537,54.12335263
PARADISE,BRADFORD,HAW,QS,JAN,14,577,1,8,AUG,12,473,3,8.2,41.37738655,30.6
ROWELL,BRADFORD,HAW,CS,JAN,95,1277,,1.7,AUG,,,,,,
SAMPSON,BRADFORD,HAW,CS,JAN,33,1137,6,2.7,AUG,26,917,12,2.5,54.97693423,48.17716039
ANDERSON,PUTNAM,HAW,QS,JAN,3,370,1,,AUG,7,573,3,,41.37738655,30.6
ANNIE,PUTNAM,HAW,QS,JAN,8,483,4,8.2,SEP,8,380,2,,37.39977384,44.19954768
ASHLEY,PUTNAM,HAW,QS,JAN,13,250,3,3.1,AUG,15,300,8,4.2,50.99932152,41.37738655
BARCO,PUTNAM,HAW,QS,JAN,6,67,1,,AUG,4,67,1,,30.6,30.6
BROWARD,PUTNAM,PLE,OTHR,JAN,3,247,2,17,AUG,7,263,3,16,41.37738655,37.39977384
CHIPCO,PUTNAM,PLE,QS,JAN,5,363,3,12.3,SEP,7,333,3,11.5,41.37738655,41.37738655
CLEARWATER,PUTNAM,HAW,QS,JAN,10,310,3,4.1,AUG,8,267,4,9.5,44.19954768,41.37738655
COMO,PUTNAM,PLE,OTHR,JAN,5,307,2,10.5,AUG,9,293,2,9.5,37.39977384,37.39977384
ENSLOW,PUTNAM,HAW,QS,JAN,13,780,3,2.5,AUG,8,567,5,,46.38858592,41.37738655
GEORGE,PUTNAM,HOL,OTHR,JAN,59,1727,,2.5,AUG,,,,,,
GILLIS,PUTNAM,HAW,QS,JAN,4,1113,3,5,JUL,9,853,,5.3,,41.37738655
GOOSE,PUTNAM,HAW,QS,JAN,81,2190,1,1,AUG,44,1893,2,1,37.39977384,30.6
HIGGENB,PUTNAM,HAW,QS,JAN,7,867,3,4.8,AUG,8,543,5,8.2,46.38858592,41.37738655
IDA,PUTNAM,PLE,OTHR,JAN,32,953,3,2,AUG,,,,,,41.37738655
MCCLOUD,PUTNAM,HAW,QS,JAN,4,350,1,,AUG,5,323,4,,44.19954768,30.6
MCMEEKIN,PUTNAM,HAW,QS,JAN,30,760,3,4.3,AUG,21,660,7,6.8,49.68937856,41.37738655
MORRIS,PUTNAM,HAW,QS,FEB,9,383,3,8.5,SEP,12,317,6,9,48.17716039,41.37738655
MUD,PUTNAM,PLE,OTHR,JAN,20,1147,8,3.6,JUL,21,970,16,3.6,57.79909537,50.99932152
N_ESTELLA,PUTNAM,PLE,OTHR,JAN,4,353,2,10.3,AUG,5,270,3,12.3,41.37738655,37.39977384
PUNCHBOWL,PUTNAM,HAW,QS,JAN,18,787,5,2,AUG,14,757,6,2.5,48.17716039,46.38858592
REDWATER,PUTNAM,HAW,CS,JAN,214,1793,1,1.7,AUG,,,,,,30.6
RILEY,PUTNAM,HAW,CS,JAN,22,330,15,5,SEP,23,587,13,4,55.7621532,57.16597247
RODMAN3,PUTNAM,HOL,OTHR,JAN,34,240,1,,AUG,72,1100,1,2,30.6,30.6
RODMANOUT,PUTNAM,HOL,OTHR,JAN,52,550,6,4.5,AUG,54,840,5,5,46.38858592,48.17716039
ROSS,PUTNAM,HAW,QS,JAN,244,2557,2,1,AUG,150,2013,33,1,64.90073918,37.39977384
ROWAN,PUTNAM,HAW,QS,JAN,18,1523,22,2.5,AUG,18,1300,21,2.5,60.46676511,60.92312647
SPRING,PUTNAM,HAW,QS,JAN,19,610,2,6.7,AUG,19,593,13,6,55.7621532,37.39977384
STAR,PUTNAM,HAW,CS,JAN,46,423,5,2.4,AUG,70,590,21,2.7,60.46676511,46.38858592
STELLA,PUTNAM,PLE,OTHR,DEC,20,540,4,8,AUG,13,531,7,7,49.68937856,44.19954768
SUGGS,PUTNAM,HAW,QS,JAN,155,2117,1,1,AUG,109,1493,3,1,41.37738655,30.6
WINNOTT,PUTNAM,HAW,CS,FEB,19,813,2,4.1,AUG,25,747,15,3.2,57.16597247,37.39977384
ASBURY,CLAY,JAX,OTHR,JAN,15,540,5,10,SEP,23,437,14,8,56.4891524,46.38858592
BROOKLN,CLAY,HAW,QS,JAN,24,390,3,3.3,AUG,12,360,9,6,52.1547731,41.37738655
BROOK_BAY,CLAY,HAW,QS,DEC,15,355,5,8,SEP,13,318,8,7,50.99932152,46.38858592
CRYSTAL,CLAY,HAW,QS,DEC,10,307,3,14.5,AUG,12,300,5,9.8,46.38858592,41.37738655
DEER,CLAY,HAW,QS,FEB,5,215,3,27,AUG,12,140,9,16,52.1547731,41.37738655
GOLDHEAD,CLAY,HAW,QS,FEB,3,180,1,,AUG,7,170,1,,30.6,30.6
HALL,CLAY,HAW,QS,JAN,9,293,1,7.5,SEP,11,377,4,8.2,44.19954768,30.6
HUTCHINSON,CLAY,HAW,QS,JAN,18,333,10,9.7,SEP,8,203,4,9.2,44.19954768,53.18835976
KINGSLEY,CLAY,PLIO,OTHR,JAN,13,513,1,22.3,SEP,14,460,4,28.5,44.19954768,30.6
LILY,CLAY,HAW,QS,FEB,29,414,47,10.3,SEP,26,440,2,12.8,37.39977384,68.36994797
L_JOHNSON,CLAY,HAW,QS,FEB,6,250,1,,AUG,8,220,2,9.5,37.39977384,30.6
PEBBLE,CLAY,HAW,QS,DEC,21,450,12,6.7,AUG,32,635,32,4.7,64.59886921,54.97693423
SHEELAR,CLAY,HAW,QS,FEB,3,233,5,12.3,AUG,9,187,3,12.9,41.37738655,46.38858592
TWIN,CLAY,HAW,QS,JAN,12,333,4,8.9,AUG,9,393,3,10.7,41.37738655,44.19954768